"Label (Grouping)","Bronx borough, Bronx County, New York!!Total!!Estimate","Bronx borough, Bronx County, New York!!Total!!Margin of Error","Bronx borough, Bronx County, New York!!Percent!!Estimate","Bronx borough, Bronx County, New York!!Percent!!Margin of Error","Bronx borough, Bronx County, New York!!Male!!Estimate","Bronx borough, Bronx County, New York!!Male!!Margin of Error","Bronx borough, Bronx County, New York!!Percent Male!!Estimate","Bronx borough, Bronx County, New York!!Percent Male!!Margin of Error","Bronx borough, Bronx County, New York!!Female!!Estimate","Bronx borough, Bronx County, New York!!Female!!Margin of Error","Bronx borough, Bronx County, New York!!Percent Female!!Estimate","Bronx borough, Bronx County, New York!!Percent Female!!Margin of Error","Brooklyn borough, Kings County, New York!!Total!!Estimate","Brooklyn borough, Kings County, New York!!Total!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent!!Estimate","Brooklyn borough, Kings County, New York!!Percent!!Margin of Error","Brooklyn borough, Kings County, New York!!Male!!Estimate","Brooklyn borough, Kings County, New York!!Male!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent Male!!Estimate","Brooklyn borough, Kings County, New York!!Percent Male!!Margin of Error","Brooklyn borough, Kings County, New York!!Female!!Estimate","Brooklyn borough, Kings County, New York!!Female!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent Female!!Estimate","Brooklyn borough, Kings County, New York!!Percent Female!!Margin of Error","Manhattan borough, New York County, New York!!Total!!Estimate","Manhattan borough, New York County, New York!!Total!!Margin of Error","Manhattan borough, New York County, New York!!Percent!!Estimate","Manhattan borough, New York County, New York!!Percent!!Margin of Error","Manhattan borough, New York County, New York!!Male!!Estimate","Manhattan borough, New York County, New York!!Male!!Margin of Error","Manhattan borough, New York County, New York!!Percent Male!!Estimate","Manhattan borough, New York County, New York!!Percent Male!!Margin of Error","Manhattan borough, New York County, New York!!Female!!Estimate","Manhattan borough, New York County, New York!!Female!!Margin of Error","Manhattan borough, New York County, New York!!Percent Female!!Estimate","Manhattan borough, New York County, New York!!Percent Female!!Margin of Error","Queens borough, Queens County, New York!!Total!!Estimate","Queens borough, Queens County, New York!!Total!!Margin of Error","Queens borough, Queens County, New York!!Percent!!Estimate","Queens borough, Queens County, New York!!Percent!!Margin of Error","Queens borough, Queens County, New York!!Male!!Estimate","Queens borough, Queens County, New York!!Male!!Margin of Error","Queens borough, Queens County, New York!!Percent Male!!Estimate","Queens borough, Queens County, New York!!Percent Male!!Margin of Error","Queens borough, Queens County, New York!!Female!!Estimate","Queens borough, Queens County, New York!!Female!!Margin of Error","Queens borough, Queens County, New York!!Percent Female!!Estimate","Queens borough, Queens County, New York!!Percent Female!!Margin of Error","Staten Island borough, Richmond County, New York!!Total!!Estimate","Staten Island borough, Richmond County, New York!!Total!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent!!Estimate","Staten Island borough, Richmond County, New York!!Percent!!Margin of Error","Staten Island borough, Richmond County, New York!!Male!!Estimate","Staten Island borough, Richmond County, New York!!Male!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent Male!!Estimate","Staten Island borough, Richmond County, New York!!Percent Male!!Margin of Error","Staten Island borough, Richmond County, New York!!Female!!Estimate","Staten Island borough, Richmond County, New York!!Female!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent Female!!Estimate","Staten Island borough, Richmond County, New York!!Percent Female!!Margin of Error"
"        Some college, no degree","166,415","±7,617","17.7%","±0.8","78,162","±5,363","18.2%","±1.3","88,253","±5,597","17.2%","±1.1","228,067","±9,572","12.4%","±0.5","112,952","±5,905","13.2%","±0.7","115,115","±6,478","11.6%","±0.7","129,927","±8,302","10.7%","±0.7","64,734","±5,394","11.3%","±0.9","65,193","±5,439","10.2%","±0.9","234,486","±8,556","13.8%","±0.5","116,945","±6,015","14.3%","±0.7","117,541","±6,352","13.3%","±0.7","53,145","±4,275","15.4%","±1.2","27,132","±2,748","16.4%","±1.7","26,013","±2,770","14.4%","±1.5"
"        Associate's degree","74,721","±6,249","7.9%","±0.7","32,258","±4,011","7.5%","±0.9","42,463","±4,363","8.3%","±0.9","124,360","±6,448","6.7%","±0.3","51,920","±3,733","6.1%","±0.4","72,440","±4,699","7.3%","±0.5","47,599","±5,198","3.9%","±0.4","21,605","±3,874","3.8%","±0.7","25,994","±3,470","4.1%","±0.5","129,438","±6,916","7.6%","±0.4","57,237","±4,636","7.0%","±0.6","72,201","±4,412","8.2%","±0.5","25,082","±2,891","7.2%","±0.8","12,119","±2,204","7.3%","±1.3","12,963","±2,078","7.2%","±1.1"
"        Bachelor's degree","137,399","±6,955","14.6%","±0.7","59,015","±4,712","13.8%","±1.1","78,384","±4,651","15.3%","±0.9","448,744","±10,527","24.4%","±0.6","212,359","±6,670","24.9%","±0.8","236,385","±7,151","23.9%","±0.7","395,814","±12,793","32.6%","±1.1","184,924","±8,731","32.2%","±1.5","210,890","±8,112","33.0%","±1.3","360,468","±10,793","21.2%","±0.6","174,848","±6,822","21.4%","±0.8","185,620","±6,791","21.1%","±0.8","78,302","±5,565","22.6%","±1.6","37,882","±3,716","22.8%","±2.2","40,420","±3,839","22.4%","±2.1"
"        Graduate or professional degree","79,266","±5,592","8.4%","±0.6","30,554","±3,332","7.1%","±0.8","48,712","±4,190","9.5%","±0.8","321,452","±10,111","17.4%","±0.5","133,862","±5,922","15.7%","±0.7","187,590","±6,874","19.0%","±0.7","363,077","±13,282","29.9%","±1.1","172,305","±9,012","30.0%","±1.6","190,772","±8,622","29.9%","±1.4","238,997","±8,233","14.1%","±0.5","108,548","±4,829","13.3%","±0.6","130,449","±5,810","14.8%","±0.7","51,104","±3,897","14.8%","±1.1","21,041","±2,475","12.7%","±1.5","30,063","±3,015","16.7%","±1.7"
"        High school graduate or higher","714,868","±9,641","75.9%","±1.0","329,242","±5,992","76.7%","±1.4","385,626","±7,155","75.3%","±1.4","1,558,547","±9,732","84.6%","±0.5","720,818","±6,272","84.5%","±0.7","837,729","±7,193","84.7%","±0.7","1,084,812","±7,779","89.4%","±0.6","516,174","±5,034","89.8%","±0.9","568,638","±5,062","89.1%","±0.8","1,396,711","±10,522","82.2%","±0.6","673,719","±6,736","82.4%","±0.8","722,992","±6,981","82.1%","±0.8","311,873","±3,913","90.1%","±1.1","148,490","±2,660","89.5%","±1.6","163,383","±2,226","90.7%","±1.2"
"        Bachelor's degree or higher","216,665","±8,808","23.0%","±0.9","89,569","±5,562","20.9%","±1.3","127,096","±6,065","24.8%","±1.2","770,196","±11,382","41.8%","±0.6","346,221","±6,396","40.6%","±0.8","423,975","±7,662","42.9%","±0.8","758,891","±10,403","62.5%","±0.9","357,229","±7,942","62.1%","±1.4","401,662","±6,349","62.9%","±1.0","599,465","±12,415","35.3%","±0.7","283,396","±7,372","34.7%","±0.9","316,069","±7,767","35.9%","±0.9","129,406","±6,116","37.4%","±1.8","58,923","±4,105","35.5%","±2.5","70,483","±3,396","39.1%","±1.9"
"    Population 25 to 34 years","216,396","±602","(X)","(X)","105,259","±427","(X)","(X)","111,137","±380","(X)","(X)","458,441","±476","(X)","(X)","220,343","±217","(X)","(X)","238,098","±414","(X)","(X)","314,204","±371","(X)","(X)","151,952","±266","(X)","(X)","162,252","±225","(X)","(X)","349,056","±1,022","(X)","(X)","174,256","±843","(X)","(X)","174,800","±460","(X)","(X)","65,422","±177","(X)","(X)","33,049","±177","(X)","(X)","32,373","±4","(X)","(X)"
"        High school graduate or higher","191,132","±2,996","88.3%","±1.4","94,816","±1,720","90.1%","±1.7","96,316","±2,571","86.7%","±2.3","429,671","±3,519","93.7%","±0.8","202,375","±2,655","91.8%","±1.2","227,296","±2,113","95.5%","±0.9","303,422","±2,272","96.6%","±0.7","145,681","±2,002","95.9%","±1.3","157,741","±1,368","97.2%","±0.8","321,698","±3,767","92.2%","±1.1","157,705","±2,568","90.5%","±1.4","163,993","±2,151","93.8%","±1.2","61,916","±1,108","94.6%","±1.7","30,916","±884","93.5%","±2.6","31,000","±676","95.8%","±2.1"
"        Bachelor's degree or higher","66,320","±4,407","30.6%","±2.0","27,375","±2,884","26.0%","±2.7","38,945","±3,248","35.0%","±2.9","260,917","±6,082","56.9%","±1.3","114,051","±3,990","51.8%","±1.8","146,866","±4,109","61.7%","±1.7","243,231","±5,110","77.4%","±1.6","114,127","±3,875","75.1%","±2.5","129,104","±3,561","79.6%","±2.2","168,578","±5,726","48.3%","±1.6","77,532","±4,033","44.5%","±2.3","91,046","±3,918","52.1%","±2.2","34,029","±2,871","52.0%","±4.4","16,403","±1,932","49.6%","±5.9","17,626","±1,582","54.4%","±4.9"
"    Population 35 to 44 years","183,924","±780","(X)","(X)","86,418","±309","(X)","(X)","97,506","±670","(X)","(X)","377,092","±534","(X)","(X)","183,250","±345","(X)","(X)","193,842","±411","(X)","(X)","230,078","±278","(X)","(X)","115,315","±257","(X)","(X)","114,763","±219","(X)","(X)","318,080","±433","(X)","(X)","160,199","±426","(X)","(X)","157,881","±235","(X)","(X)","62,378","±139","(X)","(X)","30,694","±80","(X)","(X)","31,684","±139","(X)","(X)"
"        High school graduate or higher","144,610","±4,539","78.6%","±2.4","64,919","±3,040","75.1%","±3.5","79,691","±2,914","81.7%","±2.8","337,762","±3,850","89.6%","±1.0","163,132","±2,516","89.0%","±1.3","174,630","±2,703","90.1%","±1.4","213,474","±3,541","92.8%","±1.5","106,789","±2,282","92.6%","±2.0","106,685","±2,385","93.0%","±2.1","270,641","±4,210","85.1%","±1.3","135,419","±2,685","84.5%","±1.7","135,222","±2,562","85.6%","±1.6","55,345","±1,607","88.7%","±2.6","26,253","±1,378","85.5%","±4.5","29,092","±755","91.8%","±2.4"
"        Bachelor's degree or higher","46,372","±4,130","25.2%","±2.2","18,065","±2,773","20.9%","±3.2","28,307","±2,792","29.0%","±2.8","197,436","±5,744","52.4%","±1.5","92,766","±3,310","50.6%","±1.8","104,670","±3,592","54.0%","±1.8","153,703","±4,660","66.8%","±2.0","73,863","±2,578","64.1%","±2.2","79,840","±3,402","69.6%","±3.0","135,326","±4,532","42.5%","±1.4","63,192","±3,462","39.4%","±2.2","72,134","±2,899","45.7%","±1.8","30,580","±2,626","49.0%","±4.2","13,442","±1,882","43.8%","±6.1","17,138","±1,938","54.1%","±6.1"
"    Population 45 to 64 years","341,470","±592","(X)","(X)","157,111","±355","(X)","(X)","184,359","±292","(X)","(X)","606,934","±575","(X)","(X)","282,660","±370","(X)","(X)","324,274","±619","(X)","(X)","380,308","±384","(X)","(X)","187,958","±379","(X)","(X)","192,350","±312","(X)","(X)","627,202","±636","(X)","(X)","307,680","±767","(X)","(X)","319,522","±445","(X)","(X)","134,545","±370","(X)","(X)","65,281","±4","(X)","(X)","69,264","±371","(X)","(X)"
"        High school graduate or higher","245,544","±5,064","71.9%","±1.5","115,067","±3,158","73.2%","±2.0","130,477","±3,963","70.8%","±2.1","494,609","±6,583","81.5%","±1.1","227,913","±3,462","80.6%","±1.2","266,696","±5,119","82.2%","±1.5","336,356","±4,587","88.4%","±1.2","166,282","±3,132","88.5%","±1.6","170,074","±3,013","88.4%","±1.6","504,260","±5,607","80.4%","±0.9","246,722","±3,622","80.2%","±1.2","257,538","±3,789","80.6%","±1.2","121,662","±2,215","90.4%","±1.7","58,852","±1,622","90.2%","±2.5","62,810","±1,364","90.7%","±1.9"
"        Bachelor's degree or higher","67,838","±5,063","19.9%","±1.5","28,286","±3,065","18.0%","±2.0","39,552","±3,374","21.5%","±1.8","204,837","±6,730","33.7%","±1.1","89,524","±3,905","31.7%","±1.4","115,313","±5,029","35.6%","±1.5","212,695","±6,469","55.9%","±1.7","102,519","±4,758","54.5%","±2.5","110,176","±4,293","57.3%","±2.2","185,912","±7,815","29.6%","±1.3","88,637","±5,396","28.8%","±1.8","97,275","±4,379","30.4%","±1.4","43,730","±3,939","32.5%","±2.9","19,079","±2,397","29.2%","±3.7","24,651","±2,388","35.6%","±3.4"
"    Population 65 years and over","199,512","±328","(X)","(X)","80,243","±236","(X)","(X)","119,269","±439","(X)","(X)","400,011","±419","(X)","(X)","167,023","±277","(X)","(X)","232,988","±378","(X)","(X)","288,749","±302","(X)","(X)","119,887","±192","(X)","(X)","168,862","±239","(X)","(X)","404,040","±403","(X)","(X)","175,375","±403","(X)","(X)","228,665","±4","(X)","(X)","83,677","±120","(X)","(X)","36,850","±120","(X)","(X)","46,827","±3","(X)","(X)"
"        High school graduate or higher","133,582","±4,211","67.0%","±2.1","54,440","±2,475","67.8%","±3.1","79,142","±3,346","66.4%","±2.8","296,505","±5,042","74.1%","±1.2","127,398","±3,031","76.3%","±1.8","169,107","±3,637","72.6%","±1.5","231,560","±4,523","80.2%","±1.6","97,422","±2,367","81.3%","±2.0","134,138","±3,343","79.4%","±2.0","300,112","±5,421","74.3%","±1.3","133,873","±3,009","76.3%","±1.7","166,239","±4,062","72.7%","±1.8","72,950","±1,780","87.2%","±2.1","32,469","±993","88.1%","±2.6","40,481","±1,158","86.4%","±2.5"
"        Bachelor's degree or higher","36,135","±3,053","18.1%","±1.5","15,843","±1,847","19.7%","±2.3","20,292","±2,530","17.0%","±2.1","107,006","±5,051","26.8%","±1.3","49,880","±2,803","29.9%","±1.7","57,126","±3,567","24.5%","±1.5","149,262","±6,269","51.7%","±2.2","66,720","±3,997","55.7%","±3.3","82,542","±4,193","48.9%","±2.5","109,649","±5,795","27.1%","±1.4","54,035","±3,269","30.8%","±1.8","55,614","±3,840","24.3%","±1.7","21,067","±2,162","25.2%","±2.6","9,999","±1,439","27.1%","±3.9","11,068","±1,290","23.6%","±2.8"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","129,038","±4,822","(X)","(X)","58,956","±2,790","(X)","(X)","70,082","±3,304","(X)","(X)","699,162","±4,505","(X)","(X)","337,952","±2,755","(X)","(X)","361,210","±2,534","(X)","(X)","599,875","±4,780","(X)","(X)","293,692","±3,636","(X)","(X)","306,183","±2,975","(X)","(X)","476,466","±6,378","(X)","(X)","234,780","±3,826","(X)","(X)","241,686","±3,478","(X)","(X)","218,885","±2,651","(X)","(X)","104,852","±1,729","(X)","(X)","114,033","±1,376","(X)","(X)"
"        High school graduate or higher","112,166","±4,268","86.9%","±2.1","52,316","±2,703","88.7%","±2.5","59,850","±3,274","85.4%","±3.0","652,698","±5,736","93.4%","±0.6","315,507","±3,241","93.4%","±0.8","337,191","±3,656","93.4%","±0.8","589,712","±4,804","98.3%","±0.3","287,997","±3,374","98.1%","±0.5","301,715","±3,380","98.5%","±0.4","434,281","±5,736","91.1%","±0.8","212,459","±3,517","90.5%","±1.1","221,822","±3,720","91.8%","±0.9","207,398","±3,337","94.8%","±1.1","98,850","±2,028","94.3%","±1.4","108,548","±2,014","95.2%","±1.4"
"        Bachelor's degree or higher","44,292","±3,195","34.3%","±2.4","20,002","±2,110","33.9%","±3.2","24,290","±2,356","34.7%","±3.3","426,860","±7,986","61.1%","±1.1","203,544","±4,651","60.2%","±1.4","223,316","±4,778","61.8%","±1.3","496,085","±8,138","82.7%","±1.2","243,476","±6,202","82.9%","±1.9","252,609","±4,072","82.5%","±1.3","230,326","±6,967","48.3%","±1.5","113,517","±4,499","48.4%","±2.0","116,809","±4,654","48.3%","±1.9","92,076","±5,451","42.1%","±2.5","43,160","±3,446","41.2%","±3.3","48,916","±3,198","42.9%","±2.8"
"    White alone, not Hispanic or Latino","91,350","±1,022","(X)","(X)","43,994","±612","(X)","(X)","47,356","±723","(X)","(X)","671,947","±2,757","(X)","(X)","325,921","±1,604","(X)","(X)","346,026","±1,573","(X)","(X)","575,141","±2,278","(X)","(X)","281,382","±1,545","(X)","(X)","293,759","±1,492","(X)","(X)","435,042","±2,798","(X)","(X)","214,254","±1,755","(X)","(X)","220,788","±1,603","(X)","(X)","210,551","±1,390","(X)","(X)","100,851","±1,074","(X)","(X)","109,700","±562","(X)","(X)"
"        High school graduate or higher","83,207","±2,049","91.1%","±2.1","40,029","±1,178","91.0%","±2.6","43,178","±1,560","91.2%","±2.8","630,544","±4,406","93.8%","±0.6","305,653","±2,659","93.8%","±0.7","324,891","±3,031","93.9%","±0.8","568,196","±3,047","98.8%","±0.3","277,785","±1,930","98.7%","±0.4","290,411","±2,009","98.9%","±0.4","402,703","±3,735","92.6%","±0.6","197,875","±2,252","92.4%","±0.9","204,828","±2,430","92.8%","±0.8","199,381","±2,634","94.7%","±1.1","95,106","±1,734","94.3%","±1.4","104,275","±1,583","95.1%","±1.4"
"        Bachelor's degree or higher","36,681","±2,657","40.2%","±2.9","16,814","±1,693","38.2%","±3.8","19,867","±1,856","42.0%","±3.8","416,009","±7,705","61.9%","±1.1","198,604","±4,592","60.9%","±1.4","217,405","±4,488","62.8%","±1.2","482,288","±7,160","83.9%","±1.3","237,018","±5,213","84.2%","±1.9","245,270","±3,757","83.5%","±1.3","219,862","±6,657","50.5%","±1.5","109,464","±4,396","51.1%","±2.0","110,398","±4,291","50.0%","±1.9","89,410","±5,266","42.5%","±2.5","42,307","±3,376","42.0%","±3.3","47,103","±3,042","42.9%","±2.8"
"    Black alone","296,035","±5,229","(X)","(X)","133,787","±3,311","(X)","(X)","162,248","±3,327","(X)","(X)","524,387","±7,197","(X)","(X)","224,998","±3,665","(X)","(X)","299,389","±5,192","(X)","(X)","156,682","±4,489","(X)","(X)","71,217","±3,237","(X)","(X)","85,465","±3,459","(X)","(X)","281,390","±5,578","(X)","(X)","124,283","±3,211","(X)","(X)","157,107","±3,123","(X)","(X)","30,293","±1,449","(X)","(X)","13,619","±730","(X)","(X)","16,674","±1,134","(X)","(X)"
"        High school graduate or higher","247,639","±6,026","83.7%","±1.6","112,488","±4,042","84.1%","±2.2","135,151","±3,759","83.3%","±1.8","450,839","±8,664","86.0%","±1.0","193,451","±4,358","86.0%","±1.3","257,388","±6,450","86.0%","±1.3","135,398","±5,383","86.4%","±2.0","59,882","±3,518","84.1%","±3.0","75,516","±3,750","88.4%","±2.6","250,106","±6,049","88.9%","±1.1","111,683","±3,596","89.9%","±1.6","138,423","±3,339","88.1%","±1.3","26,158","±1,539","86.3%","±3.6","12,250","±865","89.9%","±4.4","13,908","±1,215","83.4%","±5.4"
"        Bachelor's degree or higher","75,659","±5,396","25.6%","±1.8","29,981","±3,135","22.4%","±2.4","45,678","±4,006","28.2%","±2.4","137,921","±7,285","26.3%","±1.3","52,486","±4,421","23.3%","±1.9","85,435","±5,349","28.5%","±1.7","56,473","±4,355","36.0%","±2.7","22,638","±3,080","31.8%","±4.0","33,835","±3,065","39.6%","±3.6","76,148","±5,048","27.1%","±1.7","31,052","±3,501","25.0%","±2.7","45,096","±3,289","28.7%","±2.0","9,294","±1,625","30.7%","±5.2","4,206","±834","30.9%","±6.0","5,088","±1,272","30.5%","±7.2"
