,listing_names,listing_prices,location,netm2,bedroom_number,building_floor_number,floor,heating_system,age,situation,seller,title_dead_status,credit,rent_income
118,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 165 M2 DÜKKAN,4750000,Osmanağa,141.0,3.0,4.0,Zemin Kat,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,,Evet,
119,KADIKÖY BAHARİYE CADDESİ GİRİŞİNDE 300 M2 DÜKKAN,5000000,Osmanağa,255.0,3.0,4.0,Zemin Kat,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,,Evet,
120,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 150 M2 DÜKKAN,5500000,Osmanağa,128.0,3.0,4.0,Zemin Kat,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,,Evet,12000.0
121,KADIKÖY ÇARŞISININ  HAREKETLİ YERİNDE KİRACILI 190 M2 DÜKKAN,5000000,Osmanağa,161.0,2.0,4.0,Zemin Kat,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,,Evet,21000.0
122,KADIKÖY BAHARİYE CADDESİ ÜZERİNDE 180 M2 MAĞAZA,20000000,Osmanağa,153.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
123,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 60 M2 DÜKKAN,4250000,Osmanağa,51.0,2.0,4.0,Zemin Kat,Klima,21-25,Kiracılı,Danışman,,Evet,
124,KADIKÖY SÖĞÜTLÜ ÇEŞME CADDESİ ÜZERİNDE 100 M2 DÜKKAN,6500000,Osmanağa,85.0,1.0,4.0,Zemin Kat,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,,Evet,0.0
125,KADIKÖY RIHTIM CADDESİ GİRİŞİNDE KİRACILI 200 M2 BİNA,12000000,Osmanağa,,,6.0,,Kombi (Doğalgaz),11-15,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
126,KADIKÖY ALTIYOL KUŞDİLİ CADDESİ ÜZERİNDE 220 M2 MAĞAZA,25000000,Osmanağa,187.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
127,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 80 M2 DÜKKAN,4500000,Osmanağa,68.0,1.0,4.0,Zemin Kat,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
128,KADIKÖY SÖĞÜTLÜ ÇEŞME CADDESİ ÜZERİNDE KİRACILI 80 M2 MAĞAZA,8500000,Osmanağa,68.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
129,ALTIYOL SÖĞÜTLÜ ÇEŞME CADDESİ ÜZERİNDE KİRACILI 75 M2 MAĞAZA,20000000,Osmanağa,64.0,3.0,5.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
130,KADIKÖY SERASKER CADDESİ GİRİŞİNDE 140 M2 KOMPLE BİNA,12500000,Osmanağa,,,4.0,,Kombi (Doğalgaz),40,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
131,KADIKÖY SÖĞÜTLÜ ÇEŞME CADDESİ ÜZERİNDE 750 M2 BİNA,35000000,Osmanağa,,,3.0,,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
132,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE KİRACILI 150 M2 DÜKKAN,18750000,Osmanağa,128.0,1.0,4.0,Zemin Kat,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
133,kadıköy merkezde satılık 5 katlı komple bina,30000000,Osmanağa,,,,,,,,,Kat Mülkiyeti,Evet,
134,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 25 M2 DÜKKAN,3750000,Osmanağa,22.0,1.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,0.0
